x,decibel
165.6157,-40.601566
175.2438,-35.413494
226.3632,-36.037243
287.7027,-36.569817
222.3756,-37.557133
211.3719,-38.165184
621.5771,-28.674351
504.5510,-28.537155
417.4876,-29.468342
525.3657,-30.394396
779.6132,-27.266018
632.9005,-27.747177
515.1617,-26.948263
408.0286,-28.159723
433.0410,-28.492081
259.6530,-29.685858
216.1716,-31.299686
187.3184,-32.511513
158.6915,-33.486320
129.4701,-35.269306
106.1020,-34.856678
86.3818,-35.939854
135.4664,-37.100204
75.2090,-38.122906
39.6555,-34.081093
53.4254,-35.465248
34.8806,-36.018143
35.4527,-36.489628
40.3321,-37.287659
167.2935,-30.471867
160.7836,-32.165909
127.4602,-33.090160
83.5323,-34.070408
77.7139,-33.310490
84.0697,-33.932079
76.0821,-33.952728
84.7264,-33.855400
84.9179,-34.799549
66.5796,-32.588261
42.9465,-34.130772
44.5684,-32.319866
32.4726,-33.182354
32.0734,-33.669510
24.8495,-34.778355
18.4453,-35.473946
24.8408,-34.523777
25.5025,-35.249573
117.5274,-35.940704
105.8483,-33.144199
51.1978,-34.084446
41.7935,-34.762012
46.9515,-34.093857
88.7923,-34.573196
120.8284,-35.081894
145.4614,-35.782204
87.4341,-34.590965
93.8097,-35.640915
70.5361,-36.898689
51.6020,-37.199619
30.1306,-38.016670
29.1791,-39.119953
43.4938,-38.789913
23.7301,-36.524902
21.1604,-35.120289
19.0746,-35.762711
19.1368,-35.504505
29.0883,-35.818523
25.1580,-36.888447
26.4316,-37.229183
20.5348,-37.567020
22.2761,-37.770767
30.2388,-37.448391
25.6194,-38.298809
25.0423,-38.652771
35.7836,-36.016876
46.6430,-36.812321
67.1915,-34.110817
48.3184,-34.764805
50.8868,-34.333477
580.6119,-35.370564
1359.9801,-20.766693
1645.9627,-21.059782
1507.8993,-20.193127
843.7015,-21.132854
1639.9030,-20.329681
1736.0585,-17.760761
1286.0734,-18.793835
1004.1455,-19.632433
572.4030,-20.355074
175.9776,-22.731403
360.2662,-24.346275
1831.3284,-25.304186
2161.2052,-17.820503
2102.9042,-16.112852
1744.0510,-17.637300
917.2637,-19.002275
1169.7164,-20.473845
1602.1393,-21.443487
1372.2637,-21.900517
1202.5709,-20.779993
915.3085,-21.946201
603.5510,-22.574881
190.5933,-23.898928
145.8532,-26.254324
251.3532,-27.718994
1509.0634,-28.871237
2481.7289,-12.369158
1054.3184,-13.609009
831.2998,-15.011104
634.4888,-17.455908
586.9776,-18.907991
1218.2662,-20.561043
828.9104,-20.450621
1524.7301,-21.445026
2328.3619,-20.371826
2225.2127,-15.682702
1655.0821,-16.233740
1263.6468,-17.077955
595.8657,-18.938433
650.0162,-20.458590
433.1343,-21.488398
148.9440,-23.734566
235.7351,-25.335194
1673.2363,-26.241362
2445.5199,-14.714213
2472.8383,-15.543800
1933.3197,-16.202299
2304.0435,-16.637075
1329.0050,-16.997179
1238.6119,-17.155689
1711.6393,-17.600725
2026.0883,-18.333727
912.7177,-18.050789
1668.0858,-18.568159
1259.5585,-19.281868
1173.5386,-20.329760
995.7500,-20.894703
941.7425,-21.810289
603.4291,-23.355103
227.9515,-24.462500
145.6716,-25.990519
1068.4415,-25.941278
1654.7338,-21.391903
781.0224,-16.392181
155.0622,-18.531416
203.4080,-20.404139
83.1766,-22.130224
158.5821,-24.712721
631.5261,-25.844406
988.6642,-26.801979
950.1455,-20.090540
640.2923,-21.010231
141.4254,-22.131973
2115.0386,-24.640474
1521.6642,-13.114623
1082.5945,-14.672980
1410.4988,-16.642496
1130.1592,-17.514042
1431.4913,-18.965160
1563.1194,-19.549715
1064.1828,-20.101688
444.2189,-21.289330
124.5896,-22.760363
67.0410,-24.459433
191.2214,-27.082581
107.1667,-28.300165
49.0647,-29.694471
26.1978,-31.667042
18.2127,-32.645451
12.2649,-34.023563
21.2935,-35.894318
24.0410,-35.545303
106.0709,-35.201954
1799.6878,-33.083778
1959.8010,-18.839928
1538.3234,-16.952707
764.4465,-17.404274
265.1157,-18.687275
129.5112,-20.469387
105.7450,-23.047426
120.1070,-24.776026
654.2985,-26.466825
266.9938,-24.752359
72.8333,-26.312477
39.4888,-27.774290
27.9428,-29.752249
29.5423,-31.319025
593.8532,-32.671505
3454.8794,-28.086498
5645.0858,-15.333482
5512.9714,-8.282443
3176.2027,-8.458597
1367.7736,-9.851542
161.1604,-11.944149
55.2201,-13.900972
58.3532,-15.887114
48.1928,-18.751768
40.9067,-20.433109
58.1480,-22.312141
182.8744,-24.865446
181.6692,-26.275053
118.9266,-27.740492
53.1692,-29.787468
70.6343,-30.842142
46.0025,-31.642073
31.3856,-33.533066
28.3794,-34.871552
28.3246,-35.447140
35.5547,-36.428322
30.9826,-35.720764
19.3993,-36.355675
21.4453,-37.601292
33.1331,-38.131386
17.6132,-33.720306
413.9950,-35.408417
182.6468,-35.624062
93.7749,-25.103205
35.8818,-27.439133
24.3632,-28.915432